Rq Group,Eff Date,Key,Line,Line Type,Min Units,Min Course,Rqs Typ,Rqrmnt,Cond Code,Operator,Value,Institution,Acad Group,Subject,Catalog,Ptrn Type,Course ID,Trnsfr Lvl,Test Crdt,Othr Crdt,In GPA crs,Excl In-Progrss,Min Points,Min Units,Incl Equiv,Valid Beg,Valid End,Term,Assoc,Topic ID,Designation,Conn,Parenth,Test ID,Component,Score,Max Age,Select Method,Rpt Descr,Description
000168,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,RUS2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,(,,,0.00,0,,,
000168,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,RUS2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000168,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,RUSBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000168,1/1/58,0004,0040,COND,0.00,0.00,,,PL,EQ,RUSBATP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,),,,0.00,0,,,
000168,1/1/58,0005,0050,COND,0.00,0.00,,,LVL,EQ,U4,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
000169,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,RUS2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000169,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,RUS2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000169,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,RUSBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000169,1/1/58,0004,0040,COND,0.00,0.00,,,PL,EQ,RUSBATP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000169,1/1/58,0005,0050,COND,0.00,0.00,,,PL,EQ,RUSMINOR,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000170,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,RUSMINOR,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000171,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,SSI2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000171,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,SSI2MAJHSC,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000171,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,SSI2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000171,1/1/58,0004,0040,COND,0.00,0.00,,,PL,EQ,SSIBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000171,1/1/58,0005,0050,COND,0.00,0.00,,,PL,EQ,SSIBATP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000172,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,SOC2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000172,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,SOC2MAJHSC,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000172,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,SOC2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000172,1/1/58,0004,0040,COND,0.00,0.00,,,PL,EQ,SOCBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000172,1/1/58,0005,0050,COND,0.00,0.00,,,PL,EQ,SOCBATP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000173,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,SOC2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,(,,,0.00,0,,,
000173,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,SOC2MAJHSC,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000173,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,SOC2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000173,1/1/58,0004,0040,COND,0.00,0.00,,,PL,EQ,SOCBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000173,1/1/58,0005,0050,COND,0.00,0.00,,,PL,EQ,SOCBATP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,),,,0.00,0,,,
000173,1/1/58,0006,0060,COND,0.00,0.00,,,LVL,EQ,U4,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
000174,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,SPN2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000174,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,SPN2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000174,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,SPNBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000174,1/1/58,0004,0040,COND,0.00,0.00,,,PL,EQ,SPNBATP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000175,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,SPN2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,(,,,0.00,0,,,
000175,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,SPN2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000175,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,SPNBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000175,1/1/58,0004,0040,COND,0.00,0.00,,,PL,EQ,SPNBATP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,),,,0.00,0,,,
000175,1/1/58,0005,0050,COND,0.00,0.00,,,LVL,EQ,U4,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
000176,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,SPN2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000176,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,SPN2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000176,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,SPNBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000176,1/1/58,0004,0040,COND,0.00,0.00,,,PL,EQ,SPNBATP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000176,1/1/58,0005,0050,COND,0.00,0.00,,,PL,EQ,SPNMINOR,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000177,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,SPNMINOR,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000178,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,THR2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000178,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,THRBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000179,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,THR2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,(,,,0.00,0,,,
000179,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,THRBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,),,,0.00,0,,,
000179,1/1/58,0003,0030,COND,0.00,0.00,,,LVL,EQ,U4,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
000180,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,THR2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000180,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,THRBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000180,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,THRMINOR,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001040,8/20/01,0001,0010,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,,204975,ALL,Y,Y,N,N,0.00,0.00,Y,,,,0,0,,,,,,0.00,0,,,
001041,8/20/01,0001,0010,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,,204981,ALL,Y,Y,N,N,0.00,0.00,Y,,,,0,0,,,,,,0.00,0,,,
001042,8/20/01,0001,0010,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,,204986,ALL,Y,Y,N,N,0.00,0.00,Y,,,,0,0,,,,,,0.00,0,,,
001043,8/20/01,0001,0010,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,,204986,ALL,Y,Y,N,N,0.00,0.00,Y,,,,0,0,,,,,,0.00,0,,,
001044,8/20/01,0001,0010,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,,205007,ALL,Y,Y,N,N,0.00,0.00,Y,,,,0,0,,,,,,0.00,0,,,
001045,8/20/01,0001,0010,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,,205009,ALL,Y,Y,N,N,0.00,0.00,Y,,,,0,0,,,,,,0.00,0,,,
001046,8/20/01,0001,0010,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,,204958,ALL,Y,Y,N,N,0.00,0.00,Y,,,,0,0,,,,,,0.00,0,,,
001051,8/20/01,0001,0010,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,,205073,ALL,Y,Y,N,N,0.00,0.00,Y,,,,0,0,,,,,,0.00,0,,,
001052,8/20/01,0001,0010,RQ,0.00,0.00,PRE,000001286,,,,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001053,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U1,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001055,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,LE,U2,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001055,8/20/01,0003,0030,CRSW,0.00,1.00,PRE,,,,,USBNY,,GEO, ###,SMPL,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
001056,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,EQ,U1,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001057,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U2,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001057,8/20/01,0002,0020,RQ,0.00,0.00,PRE,000001041,,,,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
001058,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U2,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001058,8/20/01,0002,0020,CRSW,0.00,1.00,PRE,,,,,USBNY,,,,SMPL,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,F,AND,,,,0.00,0,,,
001059,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U2,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001059,8/20/01,0002,0020,CRSW,0.00,1.00,PRE,,,,,USBNY,,PHI, ###,SMPL,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001060,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U2,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001060,8/20/01,0002,0020,CRSW,0.00,1.00,PRE,,,,,USBNY,,PHI, ###,SMPL,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001063,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001063,8/20/01,0002,0020,RQ,0.00,0.00,PRE,000001287,,,,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
001064,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001064,8/20/01,0002,0020,RQ,0.00,0.00,PRE,000001288,,,,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
001065,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001065,8/20/01,0002,0020,CRSE,0.00,1.00,CO,,,,,USBNY,,,,,200587,ALL,Y,Y,N,N,0.00,0.00,Y,,,,0,0,,AND,,,,0.00,0,,,
001066,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001067,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001069,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001070,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001071,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001072,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001073,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001074,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001077,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001078,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001079,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001081,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U1,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001082,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,GE,U1,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001955,8/20/05,0005,0050,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,SMPL,101197,ALL,Y,Y,N,N,0.00,0.00,N,,,,0,0,,OR,,,,0.00,0,,,
001955,8/20/05,0006,0060,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,SMPL,101625,ALL,Y,Y,N,N,0.00,0.00,N,,,,0,0,,OR,),,,0.00,0,,,
001955,8/20/05,0007,0070,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,SMPL,200488,ALL,Y,Y,N,N,0.00,0.00,N,,,,0,0,,AND,,,,0.00,0,,,
001956,2/22/05,0001,0010,COND,0.00,0.00,,,PR,EQ,SOCMA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001467,8/20/01,0001,0010,COND,0.00,0.00,,,PL,EQ,BIO2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001465,1/1/58,0001,0010,COND,0.00,0.00,,,PLS,EQ,GNS,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001467,8/20/01,0002,0020,COND,0.00,0.00,,,PL,EQ,BIO2MAJHSC,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001467,8/20/01,0003,0030,COND,0.00,0.00,,,PL,EQ,BIO2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001467,8/20/01,0004,0040,COND,0.00,0.00,,,PL,EQ,BIOBS,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001467,8/20/01,0005,0050,COND,0.00,0.00,,,PL,EQ,BIOBSTP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001467,8/20/01,0006,0060,COND,0.00,0.00,,,PL,EQ,BCH2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001467,8/20/01,0007,0070,COND,0.00,0.00,,,PL,EQ,BCH2MAJHSC,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001467,8/20/01,0008,0080,COND,0.00,0.00,,,PL,EQ,BCH2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001467,8/20/01,0009,0090,COND,0.00,0.00,,,PL,EQ,BCHBS,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001467,8/20/01,0010,0100,COND,0.00,0.00,,,PL,EQ,BCHBSTP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001468,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,EQ,U4,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001468,8/20/01,0002,0020,COND,0.00,0.00,,,PL,EQ,BIO2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,(,,,0.00,0,,,
001468,8/20/01,0003,0030,COND,0.00,0.00,,,PL,EQ,BIO2MAJHSC,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001468,8/20/01,0004,0040,COND,0.00,0.00,,,PL,EQ,BIO2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001468,8/20/01,0005,0050,COND,0.00,0.00,,,PL,EQ,BIOBS,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001468,8/20/01,0006,0060,COND,0.00,0.00,,,PL,EQ,BIOBSTP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001468,8/20/01,0007,0070,COND,0.00,0.00,,,PL,EQ,BCH2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001468,8/20/01,0008,0080,COND,0.00,0.00,,,PL,EQ,BCH2MAJHSC,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001468,8/20/01,0009,0090,COND,0.00,0.00,,,PL,EQ,BCH2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001468,8/20/01,0010,0100,COND,0.00,0.00,,,PL,EQ,BCHBS,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001468,8/20/01,0011,0110,COND,0.00,0.00,,,PL,EQ,BCHBSTP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,),,,0.00,0,,,
001469,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,CHENMG,USBNY,,,,SMPL,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001469,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,CHEMP,USBNY,,,,SMPL,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
001209,8/20/01,0003,0030,RQ,0.00,0.00,PRE,000001304,,,,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
001470,8/20/01,0001,0010,COND,0.00,0.00,,,LVL,EQ,U4,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001470,8/20/01,0002,0020,RQ,0.00,0.00,PRE,000001304,,,,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
001473,1/1/01,0001,0010,COND,0.00,0.00,,,PL,EQ,BMEBE,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001475,1/1/01,0001,0010,COND,0.00,0.00,,,LVL,EQ,U4,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001475,1/1/01,0002,0020,COND,0.00,0.00,,,PL,EQ,BMEBE,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
001477,1/1/02,0001,0010,COND,0.00,0.00,,,LVL,GE,U3,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
001478,8/20/02,0002,0020,CRSE,0.00,1.00,PRE,,,,,USBNY,,,,,203327,ALL,Y,Y,N,N,0.00,0.00,Y,,,,0,0,,AND,,,,0.00,0,,,
001477,1/1/02,0003,0030,CRSW,0.00,1.00,PRE,,,,,USBNY,,ARH, ###,SMPL,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
000569,8/20/02,0001,0010,RQ,0.00,1.00,PRE,000001375,,,,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
